laestab,school_name,school_phase,year,total_pupils,fsm_taken
8162008,Fishergate Primary School,Primary,2016,305,21
8164153,Fulford,Secondary,2016,1402,39
8162009,Haxby Road Primary Academy,Primary,2016,221,47
8162241,Headlands Primary School,Primary,2016,308,8
8162001,Hempland Primary School,Primary,2016,423,5
8163302,Heworth CE Primary School,Primary,2016,141,12
8162028,Hob Moor Community Primary School,Primary,2016,323,46
8167033,Hob Moor Oaks School,Special School,2016,94,12
8162180,Huntington Primary School,Primary,2016,412,5
8164063,Huntington School,Secondary,2016,1473,56
8164508,Joseph Rowntree,Secondary,2016,1290,64
8162011,Knavesmire Primary School,Primary,2016,457,18
8162428,Lakeside Primary School,Primary,2016,310,30
8163158,Lord Deramores Primary School,Primary,2016,198,9999
8164602,Manor CE Academy,Secondary,2016,985,47
8164229,Millthorpe School,Secondary,2016,951,60
8163159,Naburn CE Primary School,Primary,2016,81,9999
8163901,New Earswick Primary School,Primary,2016,205,16
8162176,Osbaldwick Primary School,Primary,2016,347,45
8163904,Our Lady Queen of Martyrs Primary School,Primary,2016,449,22
8162012,Park Grove Primary School,Primary,2016,266,17
8162029,Poppleton Ousebank Primary School,Primary,2016,498,7
8162014,Poppleton Road Primary School,Primary,2016,388,44
8162058,Ralph Butterfield Primary School,Primary,2016,322,9999
8163212,Robert Wilkinson Academy Primary School,Primary,2016,640,10
8162349,Rufforth Primary School,Primary,2016,85,9999
8162016,Scarcroft Primary School,Primary,2016,325,21
8162169,Skelton Primary School,Primary,2016,87,10
8163401,St Aelred's RCVA Primary,Primary,2016,212,24
8163002,St Barnabas CE Primary School,Primary,2016,150,17
8163402,St Georges RC Primary School,Primary,2016,193,15
8163305,St Lawrences CE Primary School,Primary,2016,247,31
8163222,St Mary's CE Primary School,Primary,2016,111,9999
8163156,St Oswald's Primary School,Primary,2016,309,11
8163003,St Pauls CE Primary School,Primary,2016,172,8
8161000,St Pauls Nursery School,Nursery,2016,92,9999
8163403,St Wilfrid's Primary School,Primary,2016,267,14
8162227,Stockton-on-the-Forest Primary School,Primary,2016,90,9999
8162429,Tang Hall Primary School,Primary,2016,197,40
8162017,Westfield Primary Community School,Primary,2016,581,84
